Package,PASS?,orgRepo,Fails,forks_count,stargazers_count,open_issues
"=HYPERLINK(""https://www.npmjs.com/package/seneca-memcached"",""seneca-memcached"")",FAIL,"=HYPERLINK(""https://github.com/rjrodger/seneca-memcached"",""rjrodger/seneca-memcached"")",[content_readme] [exist_codeconduct] [exist_entry] [exist_license] [readme_headings] [check_default] [version_codeconduct] ,3,0,1
"=HYPERLINK(""https://www.npmjs.com/package/seneca-cron"",""seneca-cron"")",FAIL,"=HYPERLINK(""https://github.com/mirceaalexandru/seneca-cron"",""mirceaalexandru/seneca-cron"")",[content_readme] [exist_codeconduct] [exist_entry] [exist_license] [readme_headings] [check_default] [version_codeconduct] ,2,3,0
"=HYPERLINK(""https://www.npmjs.com/package/undefined"",""undefined"")",FAIL,"=HYPERLINK(""https://github.com/mbbaig/SenecaApp"",""mbbaig/SenecaApp"")",[content_readme] [exist_codeconduct] [exist_license] [exist_pkgjson] [exist_readme] [readme_headings] [test_pkgjson] [check_default] [version_codeconduct] ,1,1,0
"=HYPERLINK(""https://www.npmjs.com/package/undefined"",""undefined"")",FAIL,"=HYPERLINK(""https://github.com/bmdevlin/seneca"",""bmdevlin/seneca"")",[content_readme] [exist_codeconduct] [exist_license] [exist_pkgjson] [exist_readme] [readme_headings] [test_pkgjson] [check_default] [version_codeconduct] ,0,0,0
"=HYPERLINK(""https://www.npmjs.com/package/undefined"",""undefined"")",FAIL,"=HYPERLINK(""https://github.com/kkpachan/SenecaCollegeBTSProjects-Team7Repo"",""kkpachan/SenecaCollegeBTSProjects-Team7Repo"")",[content_readme] [exist_codeconduct] [exist_license] [exist_pkgjson] [readme_headings] [test_pkgjson] [check_default] [version_codeconduct] ,0,0,0
"=HYPERLINK(""https://www.npmjs.com/package/seneca-transport-queue"",""seneca-transport-queue"")",FAIL,"=HYPERLINK(""https://github.com/rjrodger/seneca-transport-queue"",""rjrodger/seneca-transport-queue"")",[content_readme] [exist_codeconduct] [exist_entry] [exist_license] [readme_headings] [check_default] [version_codeconduct] ,0,1,0
"=HYPERLINK(""https://www.npmjs.com/package/undefined"",""undefined"")",FAIL,"=HYPERLINK(""https://github.com/adamburmister/seneca-io-business-card"",""adamburmister/seneca-io-business-card"")",[content_readme] [exist_codeconduct] [exist_entry] [exist_license] [exist_pkgjson] [readme_headings] [test_pkgjson] [check_default] [version_codeconduct] ,1,1,0
"=HYPERLINK(""https://www.npmjs.com/package/undefined"",""undefined"")",FAIL,"=HYPERLINK(""https://github.com/GITenberg/Apocolocyntosis_10001"",""GITenberg/Apocolocyntosis_10001"")",[content_readme] [exist_codeconduct] [exist_pkgjson] [exist_readme] [readme_headings] [test_pkgjson] [check_default] [version_codeconduct] ,0,0,0
"=HYPERLINK(""https://www.npmjs.com/package/seneca-web"",""seneca-web"")",FAIL,"=HYPERLINK(""https://github.com/senecajs/seneca-web"",""senecajs/seneca-web"")",[content_readme] [exist_codeconduct] [exist_entry] [readme_headings] [check_default] [version_codeconduct] ,44,75,12
"=HYPERLINK(""https://www.npmjs.com/package/seneca-transport"",""seneca-transport"")",FAIL,"=HYPERLINK(""https://github.com/senecajs/seneca-transport"",""senecajs/seneca-transport"")",[exist_codeconduct] [exist_entry] [readme_headings] [check_default] [version_codeconduct] ,45,63,13
"=HYPERLINK(""https://www.npmjs.com/package/seneca-mongo-store"",""seneca-mongo-store"")",FAIL,"=HYPERLINK(""https://github.com/senecajs/seneca-mongo-store"",""senecajs/seneca-mongo-store"")",[content_readme] [exist_codeconduct] [exist_entry] [exist_license] [readme_headings] [check_default] [version_codeconduct] ,44,35,24
"=HYPERLINK(""https://www.npmjs.com/package/undefined"",""undefined"")",FAIL,"=HYPERLINK(""https://github.com/senecajs/seneca-mvp"",""senecajs/seneca-mvp"")",[content_readme] [exist_codeconduct] [exist_entry] [exist_license] [exist_pkgjson] [readme_headings] [test_pkgjson] [check_default] [version_codeconduct] ,22,29,4
"=HYPERLINK(""https://www.npmjs.com/package/@seneca/mail"",""@seneca/mail"")",FAIL,"=HYPERLINK(""https://github.com/senecajs/seneca-mail"",""senecajs/seneca-mail"")",[exist_codeconduct] [exist_license] [readme_headings] [check_default] [version_codeconduct] ,16,10,26
"=HYPERLINK(""https://www.npmjs.com/package/seneca-level-store"",""seneca-level-store"")",FAIL,"=HYPERLINK(""https://github.com/senecajs/seneca-level-store"",""senecajs/seneca-level-store"")",[content_readme] [exist_codeconduct] [exist_entry] [readme_headings] [check_default] [version_codeconduct] ,13,12,2
"=HYPERLINK(""https://www.npmjs.com/package/seneca-perm"",""seneca-perm"")",FAIL,"=HYPERLINK(""https://github.com/rjrodger/seneca-perm"",""rjrodger/seneca-perm"")",[content_readme] [exist_codeconduct] [exist_entry] [exist_license] [readme_headings] [check_default] [version_codeconduct] ,12,8,4
"=HYPERLINK(""https://www.npmjs.com/package/seneca-jsonfile-store"",""seneca-jsonfile-store"")",FAIL,"=HYPERLINK(""https://github.com/senecajs/seneca-jsonfile-store"",""senecajs/seneca-jsonfile-store"")",[content_readme] [exist_codeconduct] [exist_entry] [readme_headings] [check_default] [version_codeconduct] ,11,13,5
"=HYPERLINK(""https://www.npmjs.com/package/seneca-jsonrest-api"",""seneca-jsonrest-api"")",FAIL,"=HYPERLINK(""https://github.com/rjrodger/seneca-jsonrest-api"",""rjrodger/seneca-jsonrest-api"")",[content_readme] [exist_codeconduct] [exist_entry] [exist_license] [readme_headings] [check_default] [version_codeconduct] ,9,8,3
"=HYPERLINK(""https://www.npmjs.com/package/undefined"",""undefined"")",FAIL,"=HYPERLINK(""https://github.com/SenecaCDOT-BigBlueButton/SenecaBBB"",""SenecaCDOT-BigBlueButton/SenecaBBB"")",[content_readme] [exist_codeconduct] [exist_entry] [exist_license] [exist_pkgjson] [readme_headings] [test_pkgjson] [check_default] [version_codeconduct] ,6,2,3
"=HYPERLINK(""https://www.npmjs.com/package/seneca-cassandra-store"",""seneca-cassandra-store"")",FAIL,"=HYPERLINK(""https://github.com/senecajs-labs/seneca-cassandra-store"",""senecajs-labs/seneca-cassandra-store"")",[content_readme] [exist_codeconduct] [exist_entry] [exist_license] [readme_headings] [test_pkgjson] [check_default] [version_codeconduct] ,6,4,3
"=HYPERLINK(""https://www.npmjs.com/package/seneca-admin"",""seneca-admin"")",FAIL,"=HYPERLINK(""https://github.com/rjrodger/seneca-admin"",""rjrodger/seneca-admin"")",[content_readme] [exist_codeconduct] [exist_entry] [readme_headings] [check_default] [version_codeconduct] ,5,4,2
"=HYPERLINK(""https://www.npmjs.com/package/seneca-data-editor"",""seneca-data-editor"")",FAIL,"=HYPERLINK(""https://github.com/rjrodger/seneca-data-editor"",""rjrodger/seneca-data-editor"")",[content_readme] [exist_codeconduct] [exist_entry] [exist_license] [readme_headings] [check_default] [version_codeconduct] ,5,3,7
"=HYPERLINK(""https://www.npmjs.com/package/seneca-hana-store"",""seneca-hana-store"")",FAIL,"=HYPERLINK(""https://github.com/senecajs-labs/seneca-hana-store"",""senecajs-labs/seneca-hana-store"")",[content_readme] [exist_codeconduct] [exist_entry] [readme_headings] [check_default] [version_codeconduct] ,5,3,5
"=HYPERLINK(""https://www.npmjs.com/package/seneca-project"",""seneca-project"")",FAIL,"=HYPERLINK(""https://github.com/rjrodger/seneca-project"",""rjrodger/seneca-project"")",[content_readme] [exist_codeconduct] [exist_entry] [readme_headings] [check_default] [version_codeconduct] ,3,5,2
"=HYPERLINK(""https://www.npmjs.com/package/seneca-settings"",""seneca-settings"")",FAIL,"=HYPERLINK(""https://github.com/rjrodger/seneca-settings"",""rjrodger/seneca-settings"")",[content_readme] [exist_codeconduct] [exist_entry] [readme_headings] [check_default] [version_codeconduct] ,4,2,3
"=HYPERLINK(""https://www.npmjs.com/package/seneca-cart"",""seneca-cart"")",FAIL,"=HYPERLINK(""https://github.com/rjrodger/seneca-cart"",""rjrodger/seneca-cart"")",[content_readme] [exist_codeconduct] [exist_entry] [exist_license] [readme_headings] [check_default] [version_codeconduct] ,3,2,1
"=HYPERLINK(""https://www.npmjs.com/package/seneca-account"",""seneca-account"")",FAIL,"=HYPERLINK(""https://github.com/rjrodger/seneca-account"",""rjrodger/seneca-account"")",[content_readme] [exist_codeconduct] [exist_entry] [readme_headings] [check_default] [version_codeconduct] ,4,1,3
"=HYPERLINK(""https://www.npmjs.com/package/seneca-postmark-mail"",""seneca-postmark-mail"")",FAIL,"=HYPERLINK(""https://github.com/rjrodger/seneca-postmark-mail"",""rjrodger/seneca-postmark-mail"")",[content_readme] [exist_codeconduct] [exist_entry] [exist_license] [readme_headings] [check_default] [version_codeconduct] ,2,3,8
"=HYPERLINK(""https://www.npmjs.com/package/seneca-stripe-pay"",""seneca-stripe-pay"")",FAIL,"=HYPERLINK(""https://github.com/senecajs-attic/seneca-stripe-pay"",""senecajs-attic/seneca-stripe-pay"")",[content_readme] [exist_codeconduct] [exist_entry] [exist_license] [readme_headings] [test_pkgjson] [check_default] [version_codeconduct] ,2,3,1
"=HYPERLINK(""https://www.npmjs.com/package/seneca-engage"",""seneca-engage"")",FAIL,"=HYPERLINK(""https://github.com/rjrodger/seneca-engage"",""rjrodger/seneca-engage"")",[content_readme] [exist_codeconduct] [exist_entry] [exist_license] [readme_headings] [check_default] [version_codeconduct] ,2,0,1
"=HYPERLINK(""https://www.npmjs.com/package/seneca-heart"",""seneca-heart"")",FAIL,"=HYPERLINK(""https://github.com/rjrodger/seneca-heart"",""rjrodger/seneca-heart"")",[content_readme] [exist_codeconduct] [exist_entry] [readme_headings] [check_default] [version_codeconduct] ,2,1,1
"=HYPERLINK(""https://www.npmjs.com/package/seneca-simpledb-store"",""seneca-simpledb-store"")",FAIL,"=HYPERLINK(""https://github.com/pelger/seneca-simpledb-store"",""pelger/seneca-simpledb-store"")",[content_readme] [exist_codeconduct] [exist_entry] [exist_license] [readme_headings] [check_default] [version_codeconduct] ,2,0,2
"=HYPERLINK(""https://www.npmjs.com/package/seneca-riak-store"",""seneca-riak-store"")",FAIL,"=HYPERLINK(""https://github.com/mirceaalexandru/seneca-riak-store"",""mirceaalexandru/seneca-riak-store"")",[content_readme] [exist_codeconduct] [exist_entry] [exist_license] [readme_headings] [check_default] [version_codeconduct] ,2,1,2
"=HYPERLINK(""https://www.npmjs.com/package/seneca-pay"",""seneca-pay"")",FAIL,"=HYPERLINK(""https://github.com/iantocristian/seneca-pay"",""iantocristian/seneca-pay"")",[content_readme] [exist_codeconduct] [exist_entry] [exist_license] [readme_headings] [test_pkgjson] [check_default] [version_codeconduct] ,1,3,0
"=HYPERLINK(""https://www.npmjs.com/package/undefined"",""undefined"")",FAIL,"=HYPERLINK(""https://github.com/Cccolin/seneca"",""Cccolin/seneca"")",[content_readme] [exist_codeconduct] [exist_license] [exist_pkgjson] [readme_headings] [test_pkgjson] [check_default] [version_codeconduct] ,0,0,0
"=HYPERLINK(""https://www.npmjs.com/package/undefined"",""undefined"")",FAIL,"=HYPERLINK(""https://github.com/oeddyo/Seneca"",""oeddyo/Seneca"")",[content_readme] [exist_codeconduct] [exist_license] [exist_pkgjson] [readme_headings] [test_pkgjson] [check_default] [version_codeconduct] ,0,0,0
"=HYPERLINK(""https://www.npmjs.com/package/undefined"",""undefined"")",FAIL,"=HYPERLINK(""https://github.com/ChristianPeter/Seneca"",""ChristianPeter/Seneca"")",[content_readme] [exist_codeconduct] [exist_entry] [exist_license] [exist_pkgjson] [readme_headings] [test_pkgjson] [check_default] [version_codeconduct] ,0,0,0
"=HYPERLINK(""https://www.npmjs.com/package/undefined"",""undefined"")",FAIL,"=HYPERLINK(""https://github.com/Murdoc2012/Seneca"",""Murdoc2012/Seneca"")",[content_readme] [exist_codeconduct] [exist_entry] [exist_license] [exist_pkgjson] [readme_headings] [test_pkgjson] [check_default] [version_codeconduct] ,0,0,0
"=HYPERLINK(""https://www.npmjs.com/package/undefined"",""undefined"")",FAIL,"=HYPERLINK(""https://github.com/Deceiver8/Seneca"",""Deceiver8/Seneca"")",[content_readme] [exist_codeconduct] [exist_license] [exist_pkgjson] [exist_readme] [readme_headings] [test_pkgjson] [check_default] [version_codeconduct] ,0,0,0
"=HYPERLINK(""https://www.npmjs.com/package/undefined"",""undefined"")",FAIL,"=HYPERLINK(""https://github.com/SHLee84/WhoTeachesWhat"",""SHLee84/WhoTeachesWhat"")",[content_readme] [exist_codeconduct] [exist_license] [exist_pkgjson] [exist_readme] [readme_headings] [test_pkgjson] [check_default] [version_codeconduct] ,0,0,0
"=HYPERLINK(""https://www.npmjs.com/package/undefined"",""undefined"")",FAIL,"=HYPERLINK(""https://github.com/levisteenbergen/HANSENECA"",""levisteenbergen/HANSENECA"")",[content_readme] [exist_codeconduct] [exist_license] [exist_pkgjson] [readme_headings] [test_pkgjson] [check_default] [version_codeconduct] ,0,0,0
"=HYPERLINK(""https://www.npmjs.com/package/undefined"",""undefined"")",FAIL,"=HYPERLINK(""https://github.com/iancw/guidebook"",""iancw/guidebook"")",[content_readme] [exist_codeconduct] [exist_license] [exist_pkgjson] [exist_readme] [readme_headings] [test_pkgjson] [check_default] [version_codeconduct] ,0,0,0
"=HYPERLINK(""https://www.npmjs.com/package/undefined"",""undefined"")",FAIL,"=HYPERLINK(""https://github.com/marianr/seneca-history"",""marianr/seneca-history"")",[content_readme] [exist_codeconduct] [exist_pkgjson] [readme_headings] [test_pkgjson] [check_default] [version_codeconduct] ,0,0,0
"=HYPERLINK(""https://www.npmjs.com/package/seneca-localdata"",""seneca-localdata"")",FAIL,"=HYPERLINK(""https://github.com/rjrodger/seneca-localdata"",""rjrodger/seneca-localdata"")",[content_readme] [exist_codeconduct] [exist_entry] [readme_headings] [check_default] [version_codeconduct] ,0,0,0
"=HYPERLINK(""https://www.npmjs.com/package/seneca-deploy"",""seneca-deploy"")",FAIL,"=HYPERLINK(""https://github.com/rjrodger/seneca-deploy"",""rjrodger/seneca-deploy"")",[content_readme] [exist_codeconduct] [exist_entry] [readme_headings] [check_default] [version_codeconduct] ,0,1,1
"=HYPERLINK(""https://www.npmjs.com/package/seneca-cms"",""seneca-cms"")",FAIL,"=HYPERLINK(""https://github.com/rjrodger/seneca-cms"",""rjrodger/seneca-cms"")",[content_readme] [exist_codeconduct] [exist_entry] [exist_license] [readme_headings] [check_default] [version_codeconduct] ,1,0,1
"=HYPERLINK(""https://www.npmjs.com/package/seneca-dispatch"",""seneca-dispatch"")",FAIL,"=HYPERLINK(""https://github.com/rjrodger/seneca-dispatch"",""rjrodger/seneca-dispatch"")",[content_readme] [exist_codeconduct] [exist_entry] [readme_headings] [check_default] [version_codeconduct] ,0,0,2
"=HYPERLINK(""https://www.npmjs.com/package/seneca-webmap"",""seneca-webmap"")",FAIL,"=HYPERLINK(""https://github.com/rjrodger/seneca-webmap"",""rjrodger/seneca-webmap"")",[content_readme] [exist_codeconduct] [exist_entry] [readme_headings] [check_default] [version_codeconduct] ,0,0,0
"=HYPERLINK(""https://www.npmjs.com/package/seneca-service"",""seneca-service"")",FAIL,"=HYPERLINK(""https://github.com/rjrodger/seneca-service"",""rjrodger/seneca-service"")",[content_readme] [exist_codeconduct] [exist_entry] [readme_headings] [check_default] [version_codeconduct] ,0,0,0
"=HYPERLINK(""https://www.npmjs.com/package/seneca-verify"",""seneca-verify"")",FAIL,"=HYPERLINK(""https://github.com/rjrodger/seneca-verify"",""rjrodger/seneca-verify"")",[content_readme] [exist_codeconduct] [exist_entry] [exist_license] [readme_headings] [check_default] [version_codeconduct] ,1,0,1
"=HYPERLINK(""https://www.npmjs.com/package/seneca-rumours-store"",""seneca-rumours-store"")",FAIL,"=HYPERLINK(""https://github.com/dominictarr/seneca-rumours-store"",""dominictarr/seneca-rumours-store"")",[content_readme] [exist_codeconduct] [exist_entry] [readme_headings] [check_default] [version_codeconduct] ,0,0,0
"=HYPERLINK(""https://www.npmjs.com/package/undefined"",""undefined"")",FAIL,"=HYPERLINK(""https://github.com/iesportada/iSenecaPhoto"",""iesportada/iSenecaPhoto"")",[content_readme] [exist_codeconduct] [exist_license] [exist_pkgjson] [readme_headings] [test_pkgjson] [check_default] [version_codeconduct] ,0,0,0
"=HYPERLINK(""https://www.npmjs.com/package/seneca-blog-tutorial"",""seneca-blog-tutorial"")",FAIL,"=HYPERLINK(""https://github.com/rjrodger/seneca-blog-tutorial"",""rjrodger/seneca-blog-tutorial"")",[content_readme] [exist_codeconduct] [exist_entry] [readme_headings] [check_default] [version_codeconduct] ,0,0,1
"=HYPERLINK(""https://www.npmjs.com/package/undefined"",""undefined"")",FAIL,"=HYPERLINK(""https://github.com/rjimersonjr/Seneca-Language-Revitalization-Project"",""rjimersonjr/Seneca-Language-Revitalization-Project"")",[content_readme] [exist_codeconduct] [exist_license] [exist_pkgjson] [exist_readme] [readme_headings] [test_pkgjson] [check_default] [version_codeconduct] ,1,0,0
"=HYPERLINK(""https://www.npmjs.com/package/undefined"",""undefined"")",FAIL,"=HYPERLINK(""https://github.com/sezar-gantous/GPU610-CERN"",""sezar-gantous/GPU610-CERN"")",[content_readme] [exist_codeconduct] [exist_license] [exist_pkgjson] [readme_headings] [test_pkgjson] [check_default] [version_codeconduct] ,0,0,0
"=HYPERLINK(""https://www.npmjs.com/package/undefined"",""undefined"")",FAIL,"=HYPERLINK(""https://github.com/tjduavis/bsd-toolkit"",""tjduavis/bsd-toolkit"")",[content_readme] [exist_codeconduct] [exist_license] [exist_pkgjson] [readme_headings] [test_pkgjson] [check_default] [version_codeconduct] ,1,1,0
"=HYPERLINK(""https://www.npmjs.com/package/seneca-rabbitmq-transport"",""seneca-rabbitmq-transport"")",FAIL,"=HYPERLINK(""https://github.com/senecajs-labs/seneca-rabbitmq-transport"",""senecajs-labs/seneca-rabbitmq-transport"")",[content_readme] [exist_codeconduct] [exist_entry] [readme_headings] [check_default] [version_codeconduct] ,18,15,6
"=HYPERLINK(""https://www.npmjs.com/package/seneca-redis-transport"",""seneca-redis-transport"")",FAIL,"=HYPERLINK(""https://github.com/senecajs/seneca-redis-pubsub-transport"",""senecajs/seneca-redis-pubsub-transport"")",[content_readme] [exist_codeconduct] [exist_entry] [readme_headings] [check_default] [version_codeconduct] ,20,16,12
"=HYPERLINK(""https://www.npmjs.com/package/seneca-elasticsearch"",""seneca-elasticsearch"")",FAIL,"=HYPERLINK(""https://github.com/senecajs-labs/seneca-elasticsearch"",""senecajs-labs/seneca-elasticsearch"")",[content_readme] [exist_codeconduct] [exist_entry] [exist_license] [readme_headings] [check_default] [version_codeconduct] ,12,9,5
"=HYPERLINK(""https://www.npmjs.com/package/seneca-store-test"",""seneca-store-test"")",FAIL,"=HYPERLINK(""https://github.com/senecajs/seneca-store-test"",""senecajs/seneca-store-test"")",[content_readme] [exist_codeconduct] [exist_entry] [readme_headings] [check_default] [version_codeconduct] ,12,4,14
"=HYPERLINK(""https://www.npmjs.com/package/seneca-mem-store"",""seneca-mem-store"")",FAIL,"=HYPERLINK(""https://github.com/senecajs/seneca-mem-store"",""senecajs/seneca-mem-store"")",[exist_codeconduct] [exist_entry] [readme_headings] [check_default] [version_codeconduct] ,11,4,4
"=HYPERLINK(""https://www.npmjs.com/package/seneca-kafka-transport"",""seneca-kafka-transport"")",FAIL,"=HYPERLINK(""https://github.com/rjrodger/seneca-kafka-transport"",""rjrodger/seneca-kafka-transport"")",[content_readme] [exist_codeconduct] [exist_entry] [readme_headings] [check_default] [version_codeconduct] ,6,10,3
"=HYPERLINK(""https://www.npmjs.com/package/seneca-basic"",""seneca-basic"")",FAIL,"=HYPERLINK(""https://github.com/senecajs/seneca-basic"",""senecajs/seneca-basic"")",[content_readme] [exist_entry] [check_default] ,7,4,18
"=HYPERLINK(""https://www.npmjs.com/package/@seneca/redis-cache"",""@seneca/redis-cache"")",FAIL,"=HYPERLINK(""https://github.com/senecajs/seneca-redis-cache"",""senecajs/seneca-redis-cache"")",[content_readme] [exist_codeconduct] [exist_license] [readme_headings] [check_default] [version_codeconduct] ,7,5,11
"=HYPERLINK(""https://www.npmjs.com/package/seneca-card"",""seneca-card"")",FAIL,"=HYPERLINK(""https://github.com/rjrodger/seneca-card"",""rjrodger/seneca-card"")",[content_readme] [exist_codeconduct] [exist_entry] [readme_headings] [check_default] [version_codeconduct] ,6,5,4
"=HYPERLINK(""https://www.npmjs.com/package/seneca-beanstalk-transport"",""seneca-beanstalk-transport"")",FAIL,"=HYPERLINK(""https://github.com/senecajs/seneca-beanstalk-transport"",""senecajs/seneca-beanstalk-transport"")",[content_readme] [exist_codeconduct] [exist_entry] [readme_headings] [check_default] [version_codeconduct] ,8,3,2
"=HYPERLINK(""https://www.npmjs.com/package/seneca-shard-store"",""seneca-shard-store"")",FAIL,"=HYPERLINK(""https://github.com/senecajs-labs/seneca-shard-store"",""senecajs-labs/seneca-shard-store"")",[content_readme] [exist_codeconduct] [exist_entry] [readme_headings] [check_default] [version_codeconduct] ,6,4,5
"=HYPERLINK(""https://www.npmjs.com/package/seneca-msgstats"",""seneca-msgstats"")",FAIL,"=HYPERLINK(""https://github.com/senecajs-labs/seneca-msgstats"",""senecajs-labs/seneca-msgstats"")",[content_readme] [exist_codeconduct] [exist_entry] [readme_headings] [check_default] [version_codeconduct] ,5,3,1
